member_id,name,rep_type,rep_detail,building_code,floor,room
K104,"Gutierrez, Ramon Rodrigo L.",Party-list Representative,1-RIDER PARTYLIST,SW,5,SW-507
K042,"Hernandez, Charisse Anne C.",District Representative,"Calamba City, Lone District",NW,2,NW-219
L043,"Hernandez, Dennis ""Tom"" L.",District Representative,"Rizal, 4th District",SW,4,SW-407
H035,"Hernandez, Ferdinand L.",District Representative,"South Cotabato, 2nd District",SWA,4,SWA-420
L044,"Hernandez, Ramil L.",District Representative,"Laguna, 2nd District",SW,5,SW-519
L045,"Hofer-Hasim, Marlesa ""Doc Marly""",District Representative,"Zamboanga Sibugay, 2nd District",SW,3,SW-308
K043,"Horibata, Tsuyoshi Anthony ""Hori"" G.",District Representative,"Camarines Sur, 1st District",SWA,3,SWA-302
L046,"Ismula, Dadah Kiram",Party-list Representative,AKBAYAN,SW,5,SW-512
L099,"Iway, Emmanuel L.",District Representative,"Negros Oriental, 1st District",SW,3,SW-301
J044,"Javier, Lolita T.",District Representative,"Leyte, 2nd District",SW,4,SW-406
A044,"Kho, Antonio T.",District Representative,"Masbate, 1st District",SW,2,SW-203
H037,"Kho, Elisa ""Olga"" T.",District Representative,"Masbate, 2nd District",SW,5,SW-505
J046,"Kho, Wilton ""Tonton"" T.",District Representative,"Masbate, 3rd District",SW,5,SW-501
H038,"Khonghun, Jefferson F.",District Representative,"Zambales, 1st District",RVM,2,RVM-202
L047,"Ko, Manuel ""ManMan"" O.",Party-list Representative,ABANG LINGKOD,SW,6,SW-607
L048,"Labadlabad, Irene G.",District Representative,"Zamboanga del Norte, 2nd District",NW,4,NW-404
L049,"Lacson, Ma. Nina Francesca P.",Party-list Representative,MANILA TEACHERS,NW,5,NW-518
L050,"Lagbas, Atty. Jennifer ""Karen"" A.",District Representative,"Misamis Oriental, 1st District",SW,4,SW-402
L051,"Lagdameo, Jose Manuel ""JM"" F.",District Representative,"Davao del Norte, 2nd District",SWA,4,SWA-411
G055,"Lagdameo, Monique Yazmin Maria Q.",District Representative,"Makati City, 1st District",SWA,3,SWA-305
C065,"Lagman, Cielo Krisel",District Representative,"Albay, 1st District",NW,4,NW-411
K046,"Lagon, Daphne A.",District Representative,"Cebu, 6th District",RVM,1,RVM-102
J102,"Lagon, Sonny ""SL"" L.",Party-list Representative,AKO BISAYA,RVM,1,RVM-101
J047,"Lara, Joseph ""Jojo"" L.",District Representative,"Cagayan, 3rd District",NW,4,NW-409
L097,"Lazatin, Carmelo Jr. G.",District Representative,"Pampanga, 1st District",NW,6,NW-610
B020,"Ledesma, Julio IV A.",District Representative,"Negros Occidental, 1st District",NW,1,NW-102
L052,"Legacion, Nelson S.",District Representative,"Camarines Sur, 3rd District",NW,6,NW-618
K047,"Legarda, Antonio Jr. B.",District Representative,"Antique, Lone District",NW,3,NW-310
L053,"Legazpi, Franz Vincent F.",Party-list Representative,PINOY WORKERS,MB,,
L106,"Legazpi, Karl Fernandez",Party-list Representative,PINOY WORKERS,SW,2,SW-213
L054,"Leviste, Leandro Legarda",District Representative,"Batangas, 1st District",NW,3,NW-301
C069,"Libanan, Marcelino C.",Party-list Representative,4Ps,MB,,MB-N 326
L056,"Lopez, Ma. Cristina Talavera",Party-list Representative,ALONA,NW,4,NW-419
L057,"Loria, Carlos Andes",District Representative,"Albay, 2nd District",SW,1,SW-112
G059,"Loyola, Roy M.",District Representative,"Cavite, 5th District",SWA,3,SWA-311
K048,"Luistro, Atty. Gerville ""Jinky Bitrics"" R.",District Representative,"Batangas, 2nd District",NW,5,NW-514
K049,"Lumayag, Isidro D.",District Representative,"South Cotabato, 1st District",SW,3,SW-306
G060,"Macapagal-Arroyo, Gloria",District Representative,"Pampanga, 2nd District",MB,,MB-S 320
L058,"Macasaet, Rolando Ledesma",Party-list Representative,SSS-GSIS PENSYONADO,SW,1,SW-101
L059,"Maceda, Giselle Mary L.",District Representative,"Manila, 4th District",NW,3,NW-308
A054,"Madrona, Eleandro Jesus F.",District Representative,"Romblon, Lone District",SWA,3,SWA-315
E042,"Malapitan, Oscar G.",District Representative,"Caloocan City, 1st District",NW,1,NW-107
J050,"Mangudadatu, Esmael G.",District Representative,"Maguindanao del Sur, Lone District",SWA,3,SWA-313
K050,"Maniquiz, Doris ""Nanay Bing"" E.",District Representative,"Zambales, 2nd District",SW,1,SW-108
E045,"Marañon, Alfredo III D.",District Representative,"Negros Occidental, 2nd District",SW,2,SW-211
L060,"Marcoleta, Paolo Henry M.",Party-list Representative,SAGIP,RVM,2,RVM-204
K051,"Marcos, Ferdinand Alexander A.",District Representative,"Ilocos Norte, 1st District",SW,2,SW-214
L061,"Marquez, Jesus ""Jess"" R.",District Representative,"Aklan, 1st District",NW,2,NW-212
K052,"Mastura, Sittie Shahara ""Bai Dimple"" I.",District Representative,"Maguindanao del Norte, Lone District",RVM,1,RVM-107
K053,"Matibag, Ann",District Representative,"Laguna, 1st District",RVM,4,RVM-429
F046,"Matugas, Francisco ""Lalo"" T.",District Representative,"Surigao del Norte, 1st District",SW,3,SW-317
F123,"Mendoza, Raymond Democrito C.",Party-list Representative,TUCP,SW,2,SW-204
0118,"Mercado, Roger Gaviola",District Representative,"Southern Leyte, 1st District",RVM,4,RVM-401
G078,"Mercado-Revilla, Lani",District Representative,"Cavite, 2nd District",MB,,MB-N 327
E048,"Miraflores, Florencio T.",District Representative,"Aklan, 2nd District",SWA,4,SWA-415
J105,"Momo, Romeo Sr. S.",District Representative,"Surigao del Sur, 1st District",SWA,3,SWA-320
L062,"Montes, Iris Marie Demesa",Party-list Representative,4K,NW,5,NW-515
